docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
105-038-000-000-1463738950;000-000;105-025;774;105-000;698;128-013;655;1913
105-038-000-000-1463738960;000-000;105-025;899;113-038;700;135-025;685;1680
105-038-000-000-1463738970;000-000;105-025;735;135-025;670;113-038;660;1794
105-038-000-000-1463738980;000-000;105-025;818;135-025;687;075-025;634;1684
105-038-000-000-1463738990;000-000;135-025;752;105-050;680;128-013;676;1575
105-038-000-000-1463739000;000-000;015-050;671;135-025;669;038-013;633;477
075-038-000-000-1463738340;000-000;128-013;677;038-038;672;045-050;643;1467
075-038-000-000-1463738350;000-000;135-025;699;098-038;698;060-050;672;1796
075-038-000-000-1463738360;000-000;060-050;676;045-025;667;090-025;651;1854
075-038-000-000-1463738370;000-000;060-050;696;105-050;676;090-025;670;1632
075-038-000-000-1463738380;000-000;068-038;908;135-025;683;045-050;637;1969
075-038-000-000-1463738390;000-000;038-038;643;075-050;641;128-013;631;1467
075-038-000-000-1463738400;000-000;045-025;685;060-050;684;098-013;670;1683
075-038-000-000-1463738410;000-000;135-025;706;128-013;652;120-050;651;1744
075-038-000-000-1463738420;000-000;060-050;695;075-050;636;128-013;636;1686
075-038-000-000-1463738430;000-000;060-050;722;075-025;694;098-038;671;1852
075-038-000-000-1463738440;000-000;060-050;750;038-013;658;075-050;652;1577
075-038-000-000-1463738450;000-000;083-013;770;038-038;699;045-025;673;1795
075-038-000-000-1463738460;000-000;098-013;681;090-025;676;045-050;676;1519
075-038-000-000-1463738470;000-000;098-038;798;090-025;691;128-013;682;1798
075-038-000-000-1463738480;000-000;060-050;678;045-025;663;083-038;663;1857
075-038-000-000-1463738490;000-000;135-025;700;060-050;686;128-013;658;1799
075-038-000-000-1463738500;000-000;045-025;665;060-050;654;128-013;633;1736
075-038-000-000-1463738510;000-000;060-050;759;038-013;674;090-025;643;1683
075-038-000-000-1463738520;000-000;090-025;694;098-038;677;045-050;661;1627
075-038-000-000-1463738530;000-000;045-050;678;090-025;669;038-038;655;1466
075-038-000-000-1463738540;000-000;045-025;752;083-038;671;083-013;664;1975
075-038-000-000-1463738550;000-000;098-038;716;060-050;710;128-013;625;1913
075-038-000-000-1463738560;000-000;060-050;677;083-038;660;098-013;650;1630
075-038-000-000-1463738570;000-000;060-050;698;045-025;684;090-025;664;1796
075-038-000-000-1463738580;000-000;038-038;693;045-025;681;053-038;669;1793
075-038-000-000-1463738590;000-000;090-025;671;098-013;663;045-025;653;1578
075-038-000-000-1463738600;000-000;045-050;695;060-050;677;030-100;650;1464
