docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X3-105-025-1463734470;105-025;113-038;695;053-013;694;135-025;687;532
MB291-180-100-1463734750;180-100;180-100;1564;015-075;678;083-013;673;731
X22-105-075-1463733880;105-075;105-075;719;128-038;699;143-038;688;818
B100-173-013-1463736440;173-013;173-013;752;165-025;686;165-050;666;812
B104-113-038-1463737700;113-038;113-038;721;120-050;688;090-100;687;620
MB291-180-100-1463734290;180-100;180-100;1459;053-013;664;023-038;664;911
X6-015-025-1463737000;015-025;015-025;826;015-050;734;038-038;719;467
X23-075-000-1463737080;075-000;053-013;718;105-025;699;135-025;695;594
X21-135-075-1463734760;135-075;135-075;785;158-038;702;143-038;667;698
B16-120-000-1463737490;120-000;120-000;1099;143-013;697;165-050;664;870
MB276-150-050-1463737650;150-050;150-050;1411;053-013;687;173-038;668;956
X1-165-025-1463735090;165-025;158-038;712;165-050;690;173-038;682;613
B16-120-000-1463737040;120-000;120-000;1135;143-013;698;053-013;687;843
B107-150-100-1463734910;150-100;120-100;736;150-100;695;113-038;652;527
B102-030-000-1463734700;030-000;030-000;1350;023-038;697;060-000;696;852
X23-075-075-1463735000;075-075;090-100;747;053-013;710;060-050;703;482
X20-165-000-1463736930;165-000;165-000;960;173-013;692;165-025;660;856
B104-113-038-1463737740;113-038;135-025;710;143-013;694;113-038;692;588
B101-158-038-1463737770;158-038;158-038;820;135-025;685;143-038;662;530
B16-120-000-1463737730;120-000;120-000;1140;143-013;709;165-050;668;839
X21-135-075-1463734310;135-075;135-075;715;143-038;707;158-038;686;658
B16-120-000-1463737460;120-000;143-013;703;180-025;685;165-050;681;832
B109-038-013-1463737130;038-013;053-013;682;105-050;674;045-050;674;373
B13-000-000-1463736700;000-000;000-000;1431;053-013;658;180-025;655;1322
B14-000-100-1463734960;000-100;000-100;1366;105-050;668;053-013;663;996
B101-090-000-1463734800;090-000;090-000;1336;060-000;931;068-038;779;928
X3-105-025-1463734910;105-025;113-038;696;105-025;694;053-013;691;506
B106-083-038-1463737840;083-038;053-013;702;090-100;695;105-025;656;721
B107-150-100-1463734040;150-100;150-100;776;135-075;701;143-038;666;636
B11-180-000-1463737120;180-000;180-000;1410;120-000;721;143-013;679;1328
B107-068-013-1463736640;068-013;053-013;708;090-100;701;105-025;700;626
B16-120-000-1463736530;120-000;120-000;1313;143-013;699;120-025;662;908
B16-120-000-1463733790;120-000;120-000;1070;053-013;696;143-013;686;836
B106-083-013-1463737120;083-013;083-013;729;053-013;691;143-013;682;622
X21-135-050-1463737950;135-050;143-013;705;090-100;690;053-013;685;711
X24-045-050-1463737780;045-050;053-013;712;038-038;704;090-025;683;533
X21-135-050-1463737780;135-050;143-013;711;135-050;685;165-050;677;782
B103-128-013-1463736760;128-013;135-025;706;105-025;705;143-013;693;563
B16-120-000-1463737600;120-000;120-000;1099;143-013;697;165-050;664;870
